title,author,category,isbn,availability_status
Narnia,Simone de Beauvoir,Education,978-9780000001747,Available
The 4-Hour Workweek,Tara Westover,Cooking,978-9780000001749,Available
Decisive,Albert Camus,Fantasy,978-9780000001753,Borrowed
Deep Work,Tara Westover,Reference,978-9780000001757,Available
Drive,Terry Pratchett,Education,978-9780000001763,Available
Deep Survival,Trevor Noah,Children,978-9780000001768,Available
The Stand,J.K. Rowling,Music,978-9780000001775,Available
Pride and Prejudice Vol. 3,Barack Obama,Philosophy,978-9780000001781,Available
Bird by Bird Vol. 5,Ursula K. Le Guin,Children,978-9780000001788,Available
Crime and Punishment,Suzanne Collins,Art,978-9780000001793,Available
Mistborn,Tara Westover,Art,978-9780000001800,Available
Norwegian Wood (Revised),Neil Gaiman,History,978-9780000001803,Available
Decisive Vol. 4,Patrick Rothfuss,Biography,978-9780000001806,Available
Behave,Brandon Sanderson,Thriller,978-9780000001812,Available
1984,Ursula K. Le Guin,Health,978-9780000001819,Available
It,Dan Brown,Science,978-9780000001821,Available
Becoming,Albert Camus,Education,978-9780000001823,Available
2001: A Space Odyssey,Stephen Hawking,Music,978-9780000001824,Borrowed
Just Mercy,Agatha Christie,Biography,978-9780000001830,Available
The Innovators (Revised),J.K. Rowling,Science,978-9780000001837,Available
Dune,C.S. Lewis,Travel,978-9780000001844,Borrowed
Mindset,Eric Ries,Philosophy,978-9780000001849,Available
Hidden Figures,Albert Camus,Fantasy,978-9780000001855,Borrowed
Eat That Frog Vol. 3,Eric Ries,Mystery,978-9780000001858,Available
2001: A Space Odyssey,Neil Gaiman,Music,978-9780000001862,Available
Einstein,Trevor Noah,Health,978-9780000001867,Borrowed
Foundation,Leo Tolstoy,Thriller,978-9780000001869,Borrowed
On Writing Vol. 4,C.S. Lewis,Business,978-9780000001870,Available
Einstein,Neil Gaiman,Psychology,978-9780000001874,Available
The Innovators,Khaled Hosseini,Programming,978-9780000001875,Available
Mistborn,Gabriel García Márquez,Science,978-9780000001880,Available
The 4-Hour Workweek,Stephen King,Fiction,978-9780000001885,Available
Pragmatic Thinking,J.K. Rowling,Self-help,978-9780000001888,Available
Born a Crime,Stephen Hawking,Health,978-9780000001889,Available
Drive (Annotated),Jean-Paul Sartre,History,978-9780000001892,Available
Adventures of Tom Sawyer,Stephen Hawking,Art,978-9780000001899,Available
Tipping Point,Daniel Kahneman,Business,978-9780000001901,Available
Inferno (Annotated),Toni Morrison,Music,978-9780000001906,Available
Educated,Toni Morrison,Travel,978-9780000001911,Borrowed
The Hard Thing About Hard Things,Simone de Beauvoir,Children,978-9780000001918,Borrowed
The Power of Habit,Cal Newport,Mystery,978-9780000001925,Available
Educated,Frank Herbert,Reference,978-9780000001931,Available
Zero to One,Yuval Noah Harari,Health,978-9780000001935,Available
The Hobbit Vol. 4,Arthur C. Clarke,Poetry,978-9780000001941,Borrowed
Educated,Richard Feynman,History,978-9780000001948,Available
Hidden Figures,Yuval Noah Harari,Cooking,978-9780000001955,Available
The Wright Brothers,Friedrich Nietzsche,Fantasy,978-9780000001958,Available
7 Habits Vol. 5,Ursula K. Le Guin,Psychology,978-9780000001965,Available
1984 Vol. 5,Eric Ries,Science,978-9780000001966,Available
The Pragmatic Programmer,Cal Newport,Health,978-9780000001972,Available
Talking to Strangers,Arthur C. Clarke,Romance,978-9780000001978,Available
Measure What Matters,Bill Bryson,Fantasy,978-9780000001982,Available
David and Goliath,Harper Lee,Programming,978-9780000001988,Available
A Brief History of Time Vol. 3,Tara Westover,Poetry,978-9780000001993,Available
Start with Why,Terry Pratchett,Economics,978-9780000002000,Available
A Brief History of Time (Revised),Margaret Atwood,Philosophy,978-9780000002001,Borrowed
Beloved,Cal Newport,Health,978-9780000002008,Borrowed
One Hundred Years of Solitude Vol. 2,Michelle Obama,Science,978-9780000002013,Available
Switch,Daniel Kahneman,Psychology,978-9780000002017,Available
Mort Vol. 2,Brian Greene,Fiction,978-9780000002019,Available
Einstein,Cal Newport,Mystery,978-9780000002026,Available
Pride and Prejudice,Malcolm Gladwell,Fantasy,978-9780000002032,Available
Good to Great Vol. 4,Dan Brown,Music,978-9780000002034,Available
Outliers,Simone de Beauvoir,Mystery,978-9780000002041,Available
Great Expectations,Dan Brown,Programming,978-9780000002042,Borrowed
Mindset Vol. 5,J.K. Rowling,Psychology,978-9780000002045,Available
The Selfish Gene,Paulo Coelho,History,978-9780000002046,Available
Mort Vol. 2,Frank Herbert,Travel,978-9780000002053,Available
Made to Stick,Frank Herbert,History,978-9780000002059,Available
Why We Sleep,George Orwell,Travel,978-9780000002062,Borrowed
The Shining,Bill Bryson,Health,978-9780000002067,Available
Deep Work,Mark Twain,Self-help,978-9780000002074,Available
Unbroken Vol. 2,Barack Obama,Politics,978-9780000002077,Available
Foundation Vol. 3,Andrew Hunt,Science,978-9780000002083,Available
Behave,Virginia Woolf,Science,978-9780000002089,Available
Outliers,Hannah Arendt,Programming,978-9780000002090,Available
The Wright Brothers (3rd Edition),Yuval Noah Harari,Reference,978-9780000002096,Available
Homo Deus Vol. 3,Jane Austen,Romance,978-9780000002099,Available
